source,title,summary,link,published,fetched_at,sent_compound,sent_pos,sent_neu,sent_neg,sent_label,topic
BBC,Celebrated British artist David Hockney dies aged 88,"Hockney, one of the UK's most important and influential artists, has died at the age of 88.",https://www.bbc.com/news/articles/cvgjxdr27z4o?at_medium=RSS&at_campaign=rss,2026-06-12 12:44:16+00:00,2026-06-12 13:18:10.747764+00:00,0.5719,0.346,0.654,0.0,positive,General
BBC,Art's great innovator whose vivid paintings made him a household name,"The proud Yorkshireman, who also painted iconic pictures of America, was routinely described as Britain's greatest artist.",https://www.bbc.com/news/articles/ck77rg88gd9o?at_medium=RSS&at_campaign=rss,2026-06-12 09:52:22+00:00,2026-06-12 13:18:10.747764+00:00,0.6249,0.291,0.709,0.0,positive,General
BBC,Ministers want 60% of children walking or cycling to school by 2035,Thousands of safer paths and crossings are promised to help people become more active in England's towns and cities.,https://www.bbc.com/news/articles/c3wyezwly69o?at_medium=RSS&at_campaign=rss,2026-06-12 11:21:47+00:00,2026-06-12 13:18:10.747764+00:00,0.0772,0.106,0.894,0.0,positive,General
BBC,"Grooming survivors left with criminal records still being failed, BBC told","Victims who were abused and prosecuted as children are still being failed, says grooming report author.",https://www.bbc.com/news/articles/cly7jjq8nr1o?at_medium=RSS&at_campaign=rss,2026-06-12 05:03:32+00:00,2026-06-12 13:18:10.747764+00:00,-0.7717,0.0,0.573,0.427,negative,General
BBC,Nineteen now arrested over Northern Ireland disorder with house targeted in arson,Thursday night was relatively quiet although police say an arson attack in north Belfast is linked to the disorder.,https://www.bbc.com/news/articles/cwy03rneqxzo?at_medium=RSS&at_campaign=rss,2026-06-12 11:51:54+00:00,2026-06-12 13:18:10.747764+00:00,-0.7003,0.0,0.633,0.367,negative,General
BBC,Donaldson denies meeting sex abuse accuser to 'nip in the bud' allegations,"Sir Jeffrey Donaldson, the former Democratic Unionist Party (DUP) leader, is on trial for 18 sex abuse charges, including one count of rape, all of which he denies.",https://www.bbc.com/news/articles/cwyex8lk70jo?at_medium=RSS&at_campaign=rss,2026-06-12 11:47:58+00:00,2026-06-12 13:18:10.747764+00:00,-0.7906,0.0,0.588,0.412,negative,General
BBC,Taylor Swift makes tearful 21-minute speech as she joins Songwriters Hall of Fame,The singer thanks her family as she becomes the youngest woman to be inducted into the Hall of Fame.,https://www.bbc.com/news/articles/c5yzxd0g833o?at_medium=RSS&at_campaign=rss,2026-06-12 11:12:11+00:00,2026-06-12 13:18:10.747764+00:00,0.5719,0.299,0.701,0.0,positive,General
BBC,"My friends always want to split the bill equally, how do I say no?","It is never easy to speak up when a fellow diner says ""let's just divide it!""",https://www.bbc.com/news/articles/czxqdznzy7ro?at_medium=RSS&at_campaign=rss,2026-06-11 23:00:29+00:00,2026-06-12 13:18:10.747764+00:00,0.5267,0.268,0.732,0.0,positive,General
BBC,'No-one knows it's on' - NBA Finals feed US World Cup apathy,"With the World Cup under way, how excited are people across the United States - and do they even know it is on?",https://www.bbc.com/sport/football/articles/cg74rzx582ko?at_medium=RSS&at_campaign=rss,2026-06-12 04:11:21+00:00,2026-06-12 13:18:10.747764+00:00,-0.296,0.0,0.833,0.167,negative,Sports
BBC,From near death to tournament hero - Jimenez's tears for Mexico,From nearly dying on the pitch to scoring for Mexico at the World Cup - Raul Jimenez has completed a remarkable comeback.,https://www.bbc.com/sport/football/articles/cm2dl67rljvo?at_medium=RSS&at_campaign=rss,2026-06-12 00:02:08+00:00,2026-06-12 13:18:10.747764+00:00,-0.296,0.207,0.46,0.333,negative,Sports
